"Statistic","Year","Area of Origin","UNIT","VALUE"
"Materials for Production","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1944","All Countries","Euro Thousand",""
"Materials for Production","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1945","All Countries","Euro Thousand",""
"Materials for Production","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1946","All Countries","Euro Thousand",""
"Materials for Production","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1947","All Countries","Euro Thousand",""
"Materials for Production","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1948","All Countries","Euro Thousand","102058"
"Materials for Production","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1949","All Countries","Euro Thousand","98849"
"Materials for Production","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1950","All Countries","Euro Thousand","128023"
"Materials for Production","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1951","All Countries","Euro Thousand","163302"
"Materials for Production","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1952","All Countries","Euro Thousand","133889"
"Materials for Production","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1953","All Countries","Euro Thousand","140982"
"Materials for Production","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1954","All Countries","Euro Thousand","138079"
"Materials for Production","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1955","All Countries","Euro Thousand","163210"
"Materials for Production","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1956","All Countries","Euro Thousand","141200"
"Materials for Production","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1957","All Countries","Euro Thousand","144718"
"Materials for Production","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1958","All Countries","Euro Thousand","154719"
"Materials for Production","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1959","All Countries","Euro Thousand","170213"
"Materials for Production","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1960","All Countries","Euro Thousand","181357"
"Materials for Production","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1961","All Countries","Euro Thousand","203271"
"Materials for Production","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1962","All Countries","Euro Thousand","210312"
"Materials for Production","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1963","All Countries","Euro Thousand","230186"
"Materials for Production","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1964","All Countries","Euro Thousand","269160"
"Materials for Production","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1965","All Countries","Euro Thousand","278864"
"Materials for Production","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1966","All Countries","Euro Thousand","278254"
"Materials for Production","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1967","All Countries","Euro Thousand","297743"
"Materials for Production","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1968","All Countries","Euro Thousand","401398"
"Materials for Production","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1969","All Countries","Euro Thousand","452584"
"Materials for Production","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1970","All Countries","Euro Thousand","500918"
"Materials for Production","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1971","All Countries","Euro Thousand","543471"
"Materials for Production","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1971","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1971","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1972","All Countries","Euro Thousand","607302"
"Materials for Production","1972","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1972","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1972","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1973","All Countries","Euro Thousand","846915"
"Materials for Production","1973","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1973","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1973","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1974","All Countries","Euro Thousand","1288853"
"Materials for Production","1974","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1974","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1974","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1975","All Countries","Euro Thousand","1396652"
"Materials for Production","1975","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1975","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1975","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1976","All Countries","Euro Thousand","1918238"
"Materials for Production","1976","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1976","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1976","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1977","All Countries","Euro Thousand","2497067"
"Materials for Production","1977","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1977","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1977","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1978","All Countries","Euro Thousand","2864656"
"Materials for Production","1978","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1978","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1978","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1979","All Countries","Euro Thousand","3720587"
"Materials for Production","1979","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1979","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1979","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1980","All Countries","Euro Thousand","4167280"
"Materials for Production","1980","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1980","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1980","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1981","All Countries","Euro Thousand","4969628"
"Materials for Production","1981","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1981","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1981","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1982","All Countries","Euro Thousand","5170627"
"Materials for Production","1982","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1982","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1982","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1983","All Countries","Euro Thousand","5765500"
"Materials for Production","1983","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1983","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1983","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1984","All Countries","Euro Thousand","7262267"
"Materials for Production","1984","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1984","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1984","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1985","All Countries","Euro Thousand","7561777"
"Materials for Production","1985","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1985","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1985","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1986","All Countries","Euro Thousand","6623558"
"Materials for Production","1986","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1986","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1986","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1987","All Countries","Euro Thousand","7055368"
"Materials for Production","1987","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1987","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1987","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1988","All Countries","Euro Thousand","7770679"
"Materials for Production","1988","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1988","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1988","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1989","All Countries","Euro Thousand","9351229"
"Materials for Production","1989","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1989","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1989","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1990","All Countries","Euro Thousand","9340355"
"Materials for Production","1990","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1990","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1990","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1991","All Countries","Euro Thousand","9659765"
"Materials for Production","1991","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1991","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1991","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1992","All Countries","Euro Thousand","10130111"
"Materials for Production","1992","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1992","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1992","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1993","All Countries","Euro Thousand","11322000"
"Materials for Production","1993","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1993","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1993","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1994","All Countries","Euro Thousand","13347106"
"Materials for Production","1994","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1994","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1994","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1995","All Countries","Euro Thousand","16621379"
"Materials for Production","1995","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1995","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1995","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1996","All Countries","Euro Thousand","17712211"
"Materials for Production","1996","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1996","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1996","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1997","All Countries","Euro Thousand","20360377"
"Materials for Production","1997","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1997","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1997","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1998","All Countries","Euro Thousand","24273075"
"Materials for Production","1998","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1998","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1998","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1999","All Countries","Euro Thousand","26218187"
"Materials for Production","1999","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","1999","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","1999","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2000","All Countries","Euro Thousand","34055100"
"Materials for Production","2000","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2000","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2000","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2001","All Countries","Euro Thousand","35287500"
"Materials for Production","2001","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2001","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2001","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2002","All Countries","Euro Thousand","33789900"
"Materials for Production","2002","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2002","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2002","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2003","All Countries","Euro Thousand","27575900"
"Materials for Production","2003","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2003","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2003","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2004","All Countries","Euro Thousand","29133000"
"Materials for Production","2004","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2004","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2004","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2005","All Countries","Euro Thousand","32139900"
"Materials for Production","2005","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2005","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2005","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2006","All Countries","Euro Thousand","35149900"
"Materials for Production","2006","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2006","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2006","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2007","All Countries","Euro Thousand","34934400"
"Materials for Production","2007","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2007","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2007","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2008","All Countries","Euro Thousand","31869300"
"Materials for Production","2008","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2008","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2008","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2009","All Countries","Euro Thousand","23032900"
"Materials for Production","2009","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2009","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2009","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2010","All Countries","Euro Thousand","23704100"
"Materials for Production","2010","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2010","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2010","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2011","All Countries","Euro Thousand","25272500"
"Materials for Production","2011","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2011","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2011","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2012","All Countries","Euro Thousand","25750200"
"Materials for Production","2012","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2012","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2012","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2013","All Countries","Euro Thousand","26623500"
"Materials for Production","2013","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2013","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2013","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2014","All Countries","Euro Thousand","28289500"
"Materials for Production","2014","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2014","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2014","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2015","All Countries","Euro Thousand","31068100"
"Materials for Production","2015","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2015","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2015","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2016","All Countries","Euro Thousand","31288500"
"Materials for Production","2016","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2016","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2016","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production","2017","All Countries","Euro Thousand","34596619"
"Materials for Production","2017","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2017","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","9361861"
"Materials for Production","2017","Great Britain and Northern Ireland","Euro Thousand","8639306"
"Materials for Production","2018","All Countries","Euro Thousand","37004609"
"Materials for Production","2018","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production","2018","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","11430873"
"Materials for Production","2018","Great Britain and Northern Ireland","Euro Thousand","9051956"
"Materials for Production","2019","All Countries","Euro Thousand","39841884"
"Materials for Production","2019","European Union - 27 countries (from 2020)","Euro Thousand","."
"Materials for Production","2019","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","11691206"
"Materials for Production","2019","Great Britain and Northern Ireland","Euro Thousand","9587391"
"Materials for Production","2020","All Countries","Euro Thousand","42280896"
"Materials for Production","2020","European Union - 27 countries (from 2020)","Euro Thousand","12161384"
"Materials for Production","2020","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","."
"Materials for Production","2020","Great Britain and Northern Ireland","Euro Thousand","8597398"
"Materials for Agriculture Production","1938","All Countries","Euro Thousand","1595"
"Materials for Agriculture Production","1938","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1938","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1938","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1939","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1939","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1939","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1939","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1940","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1940","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1940","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1940","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1941","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1941","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1941","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1941","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1942","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1942","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1942","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1942","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1943","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1944","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1945","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1946","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1947","All Countries","Euro Thousand",""
"Materials for Agriculture Production","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1948","All Countries","Euro Thousand","4282"
"Materials for Agriculture Production","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1949","All Countries","Euro Thousand","4960"
"Materials for Agriculture Production","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1950","All Countries","Euro Thousand","6289"
"Materials for Agriculture Production","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1951","All Countries","Euro Thousand","8050"
"Materials for Agriculture Production","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1952","All Countries","Euro Thousand","6982"
"Materials for Agriculture Production","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1953","All Countries","Euro Thousand","9348"
"Materials for Agriculture Production","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1954","All Countries","Euro Thousand","11407"
"Materials for Agriculture Production","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
